epoch_s,map_x,map_y,map_yaw_deg,odom_x,odom_y,odom_yaw_deg,corr_x,corr_y,corr_yaw_deg
1789473093.249,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473093.350,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473093.450,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473093.549,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473093.650,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473093.749,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473093.850,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473093.949,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.050,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.149,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.252,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.351,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.452,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.551,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.650,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.749,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.850,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473094.951,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.050,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.149,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.250,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.350,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.449,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.549,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.649,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.749,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.849,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473095.949,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473096.049,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473096.149,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473096.249,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473096.351,,,,0.0000,0.0000,0.00,-0.0000,-0.0000,0.00
1789473096.449,-0.0000,-0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473096.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473096.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473096.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473096.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473096.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473097.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473098.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473099.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473100.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473101.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473102.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473103.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473104.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473105.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473106.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473107.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473108.949,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.049,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.149,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.249,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.349,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.449,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.549,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.649,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.749,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
1789473109.849,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.00
